seed,metric,value
25,ambiguity_q2_spearman,0.4238394516846999
25,ambiguity_q3_spearman,0.43884426021042827
25,ambiguity_q4_spearman,0.46341591437256263
26,isotonic_noise_mae,0.14444757997989655
26,isotonic_noise_rmse,0.18092334270477295
26,score_calibration_error_10bin,0.004732653498649597
26,matched_noise_between_sensor_score_range,0.08889950811862946
26,ambiguity_q1_spearman,0.4037423152743554
26,ambiguity_q2_spearman,0.4766073201713906
26,ambiguity_q3_spearman,0.4860533187333058
26,ambiguity_q4_spearman,0.5050418684429869
27,isotonic_noise_mae,0.14457100629806519
27,isotonic_noise_rmse,0.17993877828121185
27,score_calibration_error_10bin,0.007829079404473305
27,matched_noise_between_sensor_score_range,0.0812360867857933
27,ambiguity_q1_spearman,0.3645622219014603
27,ambiguity_q2_spearman,0.4281392642826537
27,ambiguity_q3_spearman,0.44888365270230335
27,ambiguity_q4_spearman,0.4629379436889609
28,isotonic_noise_mae,0.14767606556415558
28,isotonic_noise_rmse,0.1840004026889801
28,score_calibration_error_10bin,0.007326085120439529
28,matched_noise_between_sensor_score_range,0.05268920212984085
28,ambiguity_q1_spearman,0.35365594953612994
28,ambiguity_q2_spearman,0.44537804324105623
28,ambiguity_q3_spearman,0.46533576256955644
28,ambiguity_q4_spearman,0.45411229934300096
29,isotonic_noise_mae,0.14877235889434814
29,isotonic_noise_rmse,0.18450474739074707
29,score_calibration_error_10bin,0.007659743539988995
29,matched_noise_between_sensor_score_range,0.08075843751430511
29,ambiguity_q1_spearman,0.342395414658905
29,ambiguity_q2_spearman,0.4106140954395345
29,ambiguity_q3_spearman,0.4323288739643986
29,ambiguity_q4_spearman,0.47853890634856516
30,isotonic_noise_mae,0.14498353004455566
30,isotonic_noise_rmse,0.1805320829153061
30,score_calibration_error_10bin,0.007911751046776772
30,matched_noise_between_sensor_score_range,0.211989164352417
30,ambiguity_q1_spearman,0.3509581996205398
30,ambiguity_q2_spearman,0.41526094420821635
30,ambiguity_q3_spearman,0.4768110659218481
30,ambiguity_q4_spearman,0.4760646759893606
