regime,model,auroc,auroc_ci95,nll,nll_ci95,ece,ece_ci95,aurc,aurc_ci95
ID_missing,EF,0.7845096258931336,0.0032040283161819,0.5606233290065996,0.0033411263822009,0.0279888986891135,0.0028292242295972,0.171765701058201,0.0028662806734076
ID_missing,MD,0.7860038940396525,0.0037696064114151,0.5624252881083793,0.0041333875619004,0.0378311717222755,0.0036734524271116,0.1703390277777778,0.0031389658478404
ID_missing,UF,0.7895395474034652,0.0035719133168536,0.5541243683521823,0.0036468310710427,0.0254259044449465,0.0028948759201507,0.1655121097883597,0.0027596163398136
ID_missing,GF,0.7866735705457539,0.0032166847974947,0.5572121256875391,0.0033125425889606,0.0257400148611515,0.0020339071241177,0.1679306216931217,0.0026186805641529
ID_missing,CRF,0.7920576324307921,0.0035993141995328,0.5510145550928807,0.0037540619196236,0.0246165647277298,0.0024562920825848,0.1629937235449735,0.0029716224824542
noise_shift,EF,0.7745335630533965,0.0036318641739303,0.5715339686324665,0.0038074423610249,0.031282758744092,0.0032793890661238,0.181211455026455,0.0034157624477325
noise_shift,MD,0.7788166507596073,0.00354862261318,0.5706594060257976,0.00448139840837,0.0389679263564447,0.0036647545469574,0.1771133333333333,0.0033798162583695
noise_shift,UF,0.7826708409070661,0.0029080105108179,0.5622743864387311,0.0031625658275041,0.0277122549979637,0.0024328306305957,0.172421832010582,0.0027264011622924
noise_shift,GF,0.7753518281102443,0.0032343018919645,0.5706603881554037,0.0037915783614315,0.0319761929666623,0.0032505674170283,0.178992619047619,0.0033039189493615
noise_shift,CRF,0.7869966354117466,0.0032530157198908,0.5567952209773879,0.003534746217059,0.0286931259884499,0.0024359457244566,0.1675775859788359,0.002871769427331
outlier_shift,EF,0.7662652779292254,0.0034558518867172,0.5847301504068171,0.0032772335565366,0.0364548587404812,0.0024802276330866,0.1910427513227513,0.0027660693136807
outlier_shift,MD,0.768105348590155,0.0039633948708588,0.5936494954608018,0.0071998710070329,0.0522045861177767,0.0041771172455827,0.1896448148148148,0.0036745261683128
outlier_shift,UF,0.7780391207110745,0.0039403733534027,0.5711191388427758,0.0042565627070733,0.0341269342767074,0.0030428409975512,0.1780536044973545,0.0032838374214889
outlier_shift,GF,0.7665128074643364,0.0051384930729544,0.596128595541831,0.0081495020888116,0.0407159426771104,0.0043401864192921,0.1919921825396825,0.0051096114874876
outlier_shift,CRF,0.7935278745277725,0.0031239285350802,0.5512342793908818,0.0032227567374683,0.0263714381155247,0.0037373493660586,0.161756541005291,0.0026336362955107
silent_failure,EF,0.7635385315692569,0.004030306354862,0.5843708049788308,0.0042127599899631,0.0389293690695737,0.0034054901027978,0.1903252579365079,0.0038070804028414
silent_failure,MD,0.7659165812016564,0.0047215804983029,0.5913582908292163,0.0058896298405746,0.0585317055314779,0.0037708053819912,0.1878094179894179,0.0043239748942984
silent_failure,UF,0.774314276471386,0.0033673195688205,0.5722834078073088,0.0034525842595334,0.0350515115061153,0.0028969880123088,0.1795211441798941,0.0030101287689817
silent_failure,GF,0.7610047406765428,0.004038188198407,0.5909431807812799,0.0054195684570205,0.04670353438283,0.0047444277241091,0.1932868584656084,0.0035782237237329
silent_failure,CRF,0.7801172938210382,0.003294014640575,0.5659469048701222,0.0039002636682344,0.0318473049695914,0.0032503578387941,0.1747235449735449,0.0033102684548748
