seed,model,n_affected_observed,delta_log_variance,delta_clipped_log_variance,pre_upper_clip_fraction,post_upper_clip_fraction,delta_normalized_weight
101,RWF,1374,-6.7462615966796875,-0.11076278239488602,0.0007278020493686199,0.10989810526371002,0.016299191862344742
101,CFA,1374,-4.466897964477539,0.45118528604507446,0.0,0.14119359850883484,-0.008655144833028316
101,CRF_NR,1374,-1.9933760166168213,0.7081443667411804,0.008005822077393532,0.31659388542175293,-0.0182828139513731
101,CRF,1374,27.307514190673828,3.654513359069824,0.07205240428447723,0.9053857326507568,-0.15383513271808624
102,RWF,1325,-2.902287721633911,-0.11597103625535965,0.013584905304014683,0.21207547187805176,0.01895972527563572
102,CFA,1325,0.34158775210380554,0.308266818523407,0.02490566112101078,0.30037736892700195,-0.002079455181956291
102,CRF_NR,1325,0.36830276250839233,0.6938912868499756,0.013584905304014683,0.25886791944503784,-0.020368091762065887
102,CRF,1325,5.79813289642334,3.1319265365600586,0.014339623041450977,0.8739622831344604,-0.12499474734067917
103,RWF,1389,-5.714179039001465,-0.23710694909095764,0.020878329873085022,0.24766018986701965,0.02221507579088211
103,CFA,1389,0.273512601852417,0.9364352226257324,0.01151907816529274,0.3333333432674408,-0.03117908537387848
103,CRF_NR,1389,-0.5681437849998474,0.5251430869102478,0.005039596930146217,0.15406768023967743,-0.01720375381410122
103,CRF,1389,14.366927146911621,3.247950553894043,0.04679625481367111,0.8948884010314941,-0.13663175702095032
104,RWF,1436,-6.597954273223877,-0.18443192541599274,0.006963788531720638,0.17061281204223633,0.020742354914546013
104,CFA,1436,-1.371323823928833,0.3848936855792999,0.009052924811840057,0.27855151891708374,-0.0058972882106900215
104,CRF_NR,1436,-3.218127727508545,0.31453782320022583,0.009052924811840057,0.2165738195180893,-0.002580605912953615
104,CRF,1436,14.922008514404297,3.3989672660827637,0.029944289475679398,0.9192200303077698,-0.149043008685112
105,RWF,1398,-1.3988511562347412,-0.4381888210773468,0.0,0.035765379667282104,0.030301697552204132
105,CFA,1398,-1.3749750852584839,0.30714207887649536,0.0035765378270298243,0.26680973172187805,-0.002802590373903513
105,CRF_NR,1398,-0.3536558449268341,0.4604705274105072,0.0,0.2260371893644333,-0.010740155354142189
105,CRF,1398,21.076467514038086,3.9193575382232666,0.06294706463813782,0.9484978318214417,-0.1526653915643692
106,RWF,1381,-4.439091205596924,-0.35044389963150024,0.0043446775525808334,0.13468500971794128,0.02868036925792694
106,CFA,1381,-2.0592260360717773,0.004953134339302778,0.0,0.12744387984275818,0.011767968535423279
106,CRF_NR,1381,-1.3346370458602905,0.14710621535778046,0.0050687906332314014,0.19623461365699768,0.0059287091717123985
106,CRF,1381,14.354126930236816,4.17775297164917,0.028964517638087273,0.8783490061759949,-0.1825638860464096
107,RWF,1424,-4.86920166015625,-0.696662425994873,0.0,0.060393258929252625,0.04399701580405235
107,CFA,1424,-0.9851317405700684,-0.06133206933736801,0.0,0.19452247023582458,0.016153881326317787
107,CRF_NR,1424,-0.44163084030151367,0.10201729834079742,0.007022472098469734,0.2584269642829895,0.009278674609959126
107,CRF,1424,5.4565534591674805,3.3069136142730713,0.004213483072817326,0.6790730357170105,-0.14548581838607788
108,RWF,1448,-5.909172058105469,-0.43672990798950195,0.005524862091988325,0.13743093609809875,0.033230971544981
108,CFA,1448,-2.5674943923950195,0.7179720401763916,0.0,0.14157459139823914,-0.026395075023174286
108,CRF_NR,1448,-1.8701575994491577,0.33759549260139465,0.0,0.07044199109077454,-0.007439540699124336
108,CRF,1448,22.593482971191406,3.2168846130371094,0.056629832834005356,0.9323204159736633,-0.1254318505525589
109,RWF,1410,-4.082180976867676,-0.2153259664773941,0.0007092198356986046,0.24751773476600647,0.0232404638081789
109,CFA,1410,-1.0534799098968506,0.2404596358537674,0.0,0.14539006352424622,-0.0013896833406761289
109,CRF_NR,1410,-0.3641132712364197,0.36616259813308716,0.0,0.2645390033721924,-0.006461698096245527
109,CRF,1410,15.300334930419922,3.229039192199707,0.04680851101875305,0.9134751558303833,-0.12585797905921936
110,RWF,1345,-3.8209028244018555,-0.13587260246276855,0.0,0.07955390214920044,0.016645867377519608
110,CFA,1345,-2.4984443187713623,0.18237659335136414,0.0,0.141263946890831,0.0036801204551011324
110,CRF_NR,1345,-0.9130131602287292,0.14066441357135773,0.0,0.17472119629383087,0.005037315189838409
110,CRF,1345,19.799318313598633,3.8168234825134277,0.07211896032094955,0.8907063007354736,-0.15792112052440643
