method,fault,calibrated,metric,value
CAGF,clipping,True,ece_15,0.20719003281756673
CAGF,clipping,True,ece_20,0.20775149767069395
CAGF,clipping,True,nll,1.7136755379200017
CAGF,correlated_dual,False,adaptive_ece_15,0.24281203353301195
CAGF,correlated_dual,False,brier,0.7128773713091519
CAGF,correlated_dual,False,ece_10,0.2439545339572659
CAGF,correlated_dual,False,ece_15,0.24404513032425718
CAGF,correlated_dual,False,ece_20,0.24402957871269457
CAGF,correlated_dual,False,nll,1.9301133220602202
CAGF,correlated_dual,True,adaptive_ece_15,0.23847110800301669
CAGF,correlated_dual,True,brier,0.7118777134127562
CAGF,correlated_dual,True,ece_10,0.2395200817387356
CAGF,correlated_dual,True,ece_15,0.23925887014201264
CAGF,correlated_dual,True,ece_20,0.23965867634121696
CAGF,correlated_dual,True,nll,1.9292354160166547
CAGF,gain_loss,False,adaptive_ece_15,0.1889695698171717
CAGF,gain_loss,False,brier,0.6620152986806217
CAGF,gain_loss,False,ece_10,0.18963994540608767
CAGF,gain_loss,False,ece_15,0.18963567854326105
CAGF,gain_loss,False,ece_20,0.1904567129367076
CAGF,gain_loss,False,nll,1.6115833209697956
CAGF,gain_loss,True,adaptive_ece_15,0.18425460627710563
CAGF,gain_loss,True,brier,0.6623629856597768
CAGF,gain_loss,True,ece_10,0.1849554223463444
CAGF,gain_loss,True,ece_15,0.18440253439706794
CAGF,gain_loss,True,ece_20,0.18525002412293118
CAGF,gain_loss,True,nll,1.6236881306215678
CAGF,linear_drift,False,adaptive_ece_15,0.2323725263361915
CAGF,linear_drift,False,brier,0.6968801919279975
CAGF,linear_drift,False,ece_10,0.23306435262741676
CAGF,linear_drift,False,ece_15,0.23278302492097525
CAGF,linear_drift,False,ece_20,0.23337413932988121
CAGF,linear_drift,False,nll,1.7869907903743278
CAGF,linear_drift,True,adaptive_ece_15,0.2282673477614341
CAGF,linear_drift,True,brier,0.6961944266856103
CAGF,linear_drift,True,ece_10,0.22847242775713758
CAGF,linear_drift,True,ece_15,0.22802774147851873
CAGF,linear_drift,True,ece_20,0.22928663068796712
CAGF,linear_drift,True,nll,1.787928486305573
CAGF,natural,False,adaptive_ece_15,0.18790323817735408
CAGF,natural,False,brier,0.6050608451520845
CAGF,natural,False,ece_10,0.18715632337970975
CAGF,natural,False,ece_15,0.1889212549432743
CAGF,natural,False,ece_20,0.18896523546922595
CAGF,natural,False,nll,1.519166548713224
CAGF,natural,True,adaptive_ece_15,0.18463120872989688
CAGF,natural,True,brier,0.6069236942853096
CAGF,natural,True,ece_10,0.18460226798452278
CAGF,natural,True,ece_15,0.18476353828632205
CAGF,natural,True,ece_20,0.18558365484165223
CAGF,natural,True,nll,1.533381793930682
CAGF,offset,False,adaptive_ece_15,0.24147365273451937
CAGF,offset,False,brier,0.7099682361540481
CAGF,offset,False,ece_10,0.2424395327498124
CAGF,offset,False,ece_15,0.2419901565512886
CAGF,offset,False,ece_20,0.2424700644690164
CAGF,offset,False,nll,1.8345590103113971
CAGF,offset,True,adaptive_ece_15,0.23687193570103698
CAGF,offset,True,brier,0.7087049439807196
CAGF,offset,True,ece_10,0.23743383021193779
CAGF,offset,True,ece_15,0.23743702543337716
CAGF,offset,True,ece_20,0.23790220975991944
CAGF,offset,True,nll,1.8339459218939502
CAGF,silent_gaussian,False,adaptive_ece_15,0.2338725908634643
CAGF,silent_gaussian,False,brier,0.6984494751449242
CAGF,silent_gaussian,False,ece_10,0.2347777596472546
CAGF,silent_gaussian,False,ece_15,0.2346809360822688
CAGF,silent_gaussian,False,ece_20,0.23478062944939165
CAGF,silent_gaussian,False,nll,1.8034038792054599
CAGF,silent_gaussian,True,adaptive_ece_15,0.2290311049489009
CAGF,silent_gaussian,True,brier,0.6984844261304437
CAGF,silent_gaussian,True,ece_10,0.22965040478128068
CAGF,silent_gaussian,True,ece_15,0.22971537471411696
CAGF,silent_gaussian,True,ece_20,0.22973574205078898
CAGF,silent_gaussian,True,nll,1.8125964084877784
CAGF,stuck_at,False,adaptive_ece_15,0.2218226243722176
CAGF,stuck_at,False,brier,0.718180620636454
CAGF,stuck_at,False,ece_10,0.2222956837101145
CAGF,stuck_at,False,ece_15,0.22336834904069364
CAGF,stuck_at,False,ece_20,0.22428377758844736
CAGF,stuck_at,False,nll,1.7295853646577968
CAGF,stuck_at,True,adaptive_ece_15,0.21425279544429093
CAGF,stuck_at,True,brier,0.7139271868284311
CAGF,stuck_at,True,ece_10,0.21440645087711804
CAGF,stuck_at,True,ece_15,0.2159907925539367
CAGF,stuck_at,True,ece_20,0.21637178520910189
CAGF,stuck_at,True,nll,1.7280577219656845
DWR,clipping,False,adaptive_ece_15,0.21157394415202976
DWR,clipping,False,brier,0.6846834183723749
DWR,clipping,False,ece_10,0.21204079536808176
DWR,clipping,False,ece_15,0.21179497944725473
DWR,clipping,False,ece_20,0.2124422609167537
DWR,clipping,False,nll,1.7105955696273685
DWR,clipping,True,adaptive_ece_15,0.21437393041459055
DWR,clipping,True,brier,0.6882777222929997
DWR,clipping,True,ece_10,0.21551251873189595
DWR,clipping,True,ece_15,0.21543962575194758
DWR,clipping,True,ece_20,0.21588613385049488
DWR,clipping,True,nll,1.7468887186007511
DWR,correlated_dual,False,adaptive_ece_15,0.23910572590711024
DWR,correlated_dual,False,brier,0.7116545741525271
DWR,correlated_dual,False,ece_10,0.23918430651721603
DWR,correlated_dual,False,ece_15,0.23966900757134071
DWR,correlated_dual,False,ece_20,0.23945610494643965
DWR,correlated_dual,False,nll,1.9344460474239125
DWR,correlated_dual,True,adaptive_ece_15,0.24430895664624175
DWR,correlated_dual,True,brier,0.716146700787166
DWR,correlated_dual,True,ece_10,0.24467087049996708
DWR,correlated_dual,True,ece_15,0.2448903632590139
DWR,correlated_dual,True,ece_20,0.2447262246875343
DWR,correlated_dual,True,nll,1.9651866563335496
DWR,gain_loss,False,adaptive_ece_15,0.1899947357760942
DWR,gain_loss,False,brier,0.6665253141106746
DWR,gain_loss,False,ece_10,0.19006809053974993
DWR,gain_loss,False,ece_15,0.1904590862027201
DWR,gain_loss,False,ece_20,0.19021689654127322
DWR,gain_loss,False,nll,1.6124170093865722
DWR,gain_loss,True,adaptive_ece_15,0.19395631590873466
DWR,gain_loss,True,brier,0.6705539952574077
DWR,gain_loss,True,ece_10,0.19425651807676036
DWR,gain_loss,True,ece_15,0.19413026245216997
DWR,gain_loss,True,ece_20,0.1942852549213919
DWR,gain_loss,True,nll,1.6447214966214698
DWR,linear_drift,False,adaptive_ece_15,0.23203976150025038
DWR,linear_drift,False,brier,0.697459790069202
DWR,linear_drift,False,ece_10,0.23220831940375697
DWR,linear_drift,False,ece_15,0.23285842822244907
DWR,linear_drift,False,ece_20,0.23298186683885608
DWR,linear_drift,False,nll,1.8091528984081784
DWR,linear_drift,True,adaptive_ece_15,0.23596699069690308
DWR,linear_drift,True,brier,0.7016012733039118
DWR,linear_drift,True,ece_10,0.23625715304504116
DWR,linear_drift,True,ece_15,0.2367149910315065
DWR,linear_drift,True,ece_20,0.23642027094468512
DWR,linear_drift,True,nll,1.8602000815798276
DWR,natural,False,adaptive_ece_15,0.18340015444907978
DWR,natural,False,brier,0.6016000820831648
DWR,natural,False,ece_10,0.18248413567841867
DWR,natural,False,ece_15,0.18331494441991764
DWR,natural,False,ece_20,0.18388363712908581
DWR,natural,False,nll,1.5180049311505024
DWR,natural,True,adaptive_ece_15,0.18917004510514454
DWR,natural,True,brier,0.6056526820685146
DWR,natural,True,ece_10,0.18831902945279305
DWR,natural,True,ece_15,0.18896329405860107
DWR,natural,True,ece_20,0.18990160281215912
DWR,natural,True,nll,1.5503583632195947
DWR,offset,False,adaptive_ece_15,0.24723356474945568
DWR,offset,False,brier,0.7195851219200302
DWR,offset,False,ece_10,0.247395839412397
DWR,offset,False,ece_15,0.24789887974422858
DWR,offset,False,ece_20,0.2477248338372963
DWR,offset,False,nll,1.8913759106024652
DWR,offset,True,adaptive_ece_15,0.25084670446915547
DWR,offset,True,brier,0.7231921051935702
DWR,offset,True,ece_10,0.2512414518183764
DWR,offset,True,ece_15,0.25151702918583485
DWR,offset,True,ece_20,0.25145262889939635
DWR,offset,True,nll,1.9462754478161777
DWR,silent_gaussian,False,adaptive_ece_15,0.2280678215504075
DWR,silent_gaussian,False,brier,0.6946671456272382
DWR,silent_gaussian,False,ece_10,0.22807799550942817
DWR,silent_gaussian,False,ece_15,0.22868117444442562
DWR,silent_gaussian,False,ece_20,0.22840351597854128
DWR,silent_gaussian,False,nll,1.7943956260410245
DWR,silent_gaussian,True,adaptive_ece_15,0.23237240214095434
DWR,silent_gaussian,True,brier,0.6995440044629166
DWR,silent_gaussian,True,ece_10,0.23278207641870025
DWR,silent_gaussian,True,ece_15,0.23282549567964508
DWR,silent_gaussian,True,ece_20,0.2328315110650087
DWR,silent_gaussian,True,nll,1.8408993374554643
DWR,stuck_at,False,adaptive_ece_15,0.2261800508167659
DWR,stuck_at,False,brier,0.7230664981178938
DWR,stuck_at,False,ece_10,0.2263359078026003
DWR,stuck_at,False,ece_15,0.22684150516242468
DWR,stuck_at,False,ece_20,0.22682637322035046
DWR,stuck_at,False,nll,1.7364035558282596
DWR,stuck_at,True,adaptive_ece_15,0.22989588865137883
DWR,stuck_at,True,brier,0.7243726052193384
DWR,stuck_at,True,ece_10,0.22981934310077906
DWR,stuck_at,True,ece_15,0.23056507351288383
DWR,stuck_at,True,ece_20,0.23009243401213042
DWR,stuck_at,True,nll,1.7605247140754963
EF,clipping,False,adaptive_ece_15,0.18540689380315328
EF,clipping,False,brier,0.6198577414590779
EF,clipping,False,ece_10,0.18552070724701902
EF,clipping,False,ece_15,0.1858499979154709
EF,clipping,False,ece_20,0.1858369713630373
EF,clipping,False,nll,1.6256292362348124
EF,clipping,True,adaptive_ece_15,0.18828835727409632
EF,clipping,True,brier,0.6195408788842748
EF,clipping,True,ece_10,0.1883758742153972
EF,clipping,True,ece_15,0.1884019311893079
EF,clipping,True,ece_20,0.18877592725213185
EF,clipping,True,nll,1.6196071476979506
EF,correlated_dual,False,adaptive_ece_15,0.3174311727285385
EF,correlated_dual,False,brier,0.8145959484611206
EF,correlated_dual,False,ece_10,0.31749801875512934
