building,seed,method,true,predicted,count
auditorium,105,UF-PD,1,0,41
auditorium,105,UF-PD,1,1,187
auditorium,105,CAGF,0,0,9115
auditorium,105,CAGF,0,1,11
auditorium,105,CAGF,1,0,85
auditorium,105,CAGF,1,1,143
auditorium,105,ENT-PD,0,0,8843
auditorium,105,ENT-PD,0,1,283
auditorium,105,ENT-PD,1,0,41
auditorium,105,ENT-PD,1,1,187
auditorium,105,PDRF-NOQ,0,0,8507
auditorium,105,PDRF-NOQ,0,1,619
auditorium,105,PDRF-NOQ,1,0,4
auditorium,105,PDRF-NOQ,1,1,224
auditorium,105,RC-PDRF-NOQ,0,0,8523
auditorium,105,RC-PDRF-NOQ,0,1,603
auditorium,105,RC-PDRF-NOQ,1,0,10
auditorium,105,RC-PDRF-NOQ,1,1,218
auditorium,105,HGB-current,0,0,8972
auditorium,105,HGB-current,0,1,154
auditorium,105,HGB-current,1,0,19
auditorium,105,HGB-current,1,1,209
auditorium,105,HGB-lag,0,0,9060
auditorium,105,HGB-lag,0,1,66
auditorium,105,HGB-lag,1,0,59
auditorium,105,HGB-lag,1,1,169
hospital,101,EF-PD,0,0,7843
hospital,101,EF-PD,0,1,24
hospital,101,EF-PD,1,0,234
hospital,101,EF-PD,1,1,1261
hospital,101,UF-PD,0,0,7717
hospital,101,UF-PD,0,1,150
hospital,101,UF-PD,1,0,248
hospital,101,UF-PD,1,1,1247
hospital,101,CAGF,0,0,7857
hospital,101,CAGF,0,1,10
hospital,101,CAGF,1,0,273
hospital,101,CAGF,1,1,1222
hospital,101,ENT-PD,0,0,7867
hospital,101,ENT-PD,0,1,0
hospital,101,ENT-PD,1,0,267
hospital,101,ENT-PD,1,1,1228
hospital,101,PDRF-NOQ,0,0,7867
hospital,101,PDRF-NOQ,0,1,0
hospital,101,PDRF-NOQ,1,0,273
hospital,101,PDRF-NOQ,1,1,1222
hospital,101,RC-PDRF-NOQ,0,0,7867
hospital,101,RC-PDRF-NOQ,0,1,0
hospital,101,RC-PDRF-NOQ,1,0,273
hospital,101,RC-PDRF-NOQ,1,1,1222
hospital,101,HGB-current,0,0,7850
hospital,101,HGB-current,0,1,17
