subset,metric,difference,ci_low,ci_high,reps
all,macro_auroc,-0.0028184379585133312,-0.006664894125441669,0.0011551919868253689,5000
affected,macro_auroc,-0.019162804812666634,-0.026667880579452904,-0.011777860736564724,5000
