dataset,task,seed,method,environment,fault_type,group,scale,prevalence,subset,metric,value
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,affected,macro_auroc,0.8225421523726825
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,affected,macro_auprc,0.5529809145590434
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,affected,nll,1.7727874047186463
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,affected,brier,0.6893618563518195
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,affected,ece15,0.23757115747168125
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,unaffected,accuracy,0.5532879818594104
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,unaffected,macro_f1,0.5276622099785245
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,unaffected,macro_auroc,0.8363617394567306
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,unaffected,macro_auprc,0.5863862469689637
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,unaffected,nll,1.7044536831387989
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,unaffected,brier,0.6497226552656208
chemical,gas_class,101,CAGF,type:linear_drift,linear_drift,1,,0.4,unaffected,ece15,0.208992720945532
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,all,accuracy,0.48900091659028416
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,all,macro_f1,0.4962779943722688
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,all,macro_auroc,0.8017166308466303
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,all,macro_auprc,0.5331707335096985
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,all,nll,1.7453144436164523
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,all,brier,0.7218404767028553
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,all,ece15,0.2501177517961844
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,affected,accuracy,0.3915014164305949
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,affected,macro_f1,0.38113640130482457
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,affected,macro_auroc,0.7475770733021377
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,affected,macro_auprc,0.4434152815605188
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,affected,nll,1.8674842210217217
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,affected,brier,0.8413166464501343
chemical,gas_class,101,CAGF,type:stuck_at,stuck_at,1,,0.4,affected,ece15,0.31573262547298464
