pool,contrast,subset,metric,aligned_difference,ci_low,ci_high,reps
equal_probability,PDRF-CAGF,all,accuracy,-0.004582951420714965,-0.015352887259394987,0.00572868927589365,5000
equal_probability,PDRF-CAGF,all,macro_f1,0.0035548199101747002,-0.007417263621229078,0.014558233748760176,5000
equal_probability,PDRF-CAGF,all,macro_auprc,-0.010721418754996992,-0.018615049553763523,-0.00219449884665172,5000
equal_probability,PDRF-CAGF,all,macro_auroc,-0.005955352458223873,-0.010028423801979986,-0.0019345523474771874,5000
equal_probability,PDRF-CAGF,all,nll,-0.5389079255506612,-0.5973623510566123,-0.4831761150766123,5000
equal_probability,PDRF-CAGF,affected,accuracy,-0.0447592067988668,-0.06403682719546747,-0.02491501416430609,5000
equal_probability,PDRF-CAGF,affected,macro_f1,-0.031399586043900085,-0.05160582483153772,-0.011752674269659978,5000
equal_probability,PDRF-CAGF,affected,macro_auprc,-0.051975335116188015,-0.067215128369268,-0.03515331793638427,5000
equal_probability,PDRF-CAGF,affected,macro_auroc,-0.028434804118369628,-0.03647658859988352,-0.02007002595420589,5000
equal_probability,PDRF-CAGF,affected,nll,-0.8694435853794662,-0.9881886017064546,-0.7551685617797216,5000
equal_probability,PDRF-CAGF,unaffected,accuracy,0.02270103886110042,0.011542901115813797,0.03462870334744128,5000
equal_probability,PDRF-CAGF,unaffected,macro_f1,0.022974527420587365,0.011295433528262446,0.03497802204080615,5000
equal_probability,PDRF-CAGF,unaffected,macro_auprc,0.01854729298477087,0.011402702929789343,0.026190614244700306,5000
equal_probability,PDRF-CAGF,unaffected,macro_auroc,0.00999125958374869,0.0064557730187600635,0.013587005875810335,5000
equal_probability,PDRF-CAGF,unaffected,nll,-0.3144387298608413,-0.3696938819703519,-0.26046702868304267,5000
equal_probability,PDRF_AUC-CAGF,all,accuracy,-0.006416131989000928,-0.01741521539871671,0.0036663611365719273,5000
equal_probability,PDRF_AUC-CAGF,all,macro_f1,0.0010673443276489891,-0.009291594403540502,0.011775593256502471,5000
equal_probability,PDRF_AUC-CAGF,all,macro_auprc,-0.011052371195169997,-0.01925322025282518,-0.002732567268141423,5000
equal_probability,PDRF_AUC-CAGF,all,macro_auroc,-0.0051763405830018705,-0.009266479905063607,-0.001015565221600768,5000
equal_probability,PDRF_AUC-CAGF,all,nll,-0.5790169641153622,-0.6394043449929598,-0.5209205139827287,5000
equal_probability,PDRF_AUC-CAGF,affected,accuracy,-0.043626062322946135,-0.06345609065155805,-0.02379603399433433,5000
equal_probability,PDRF_AUC-CAGF,affected,macro_f1,-0.031176601298446516,-0.050537503725024524,-0.011824586036918844,5000
equal_probability,PDRF_AUC-CAGF,affected,macro_auprc,-0.051437497475154914,-0.06668681398324008,-0.034612508152607066,5000
equal_probability,PDRF_AUC-CAGF,affected,macro_auroc,-0.026916415452705622,-0.03536768961595124,-0.018423231312971838,5000
equal_probability,PDRF_AUC-CAGF,affected,nll,-0.901873246367717,-1.0191069428604975,-0.7852818914208977,5000
equal_probability,PDRF_AUC-CAGF,unaffected,accuracy,0.018853405155829228,0.00808003078106967,0.03001154290111585,5000
equal_probability,PDRF_AUC-CAGF,unaffected,macro_f1,0.019012058729620196,0.007614379437694736,0.030593218024336753,5000
equal_probability,PDRF_AUC-CAGF,unaffected,macro_auprc,0.017974110918050457,0.011101520475094093,0.025764508576035898,5000
equal_probability,PDRF_AUC-CAGF,unaffected,macro_auroc,0.010477580616409687,0.006764891479282062,0.014040539527742923,5000
equal_probability,PDRF_AUC-CAGF,unaffected,nll,-0.359762890173305,-0.4166384414187502,-0.3041743407070539,5000
calibration_stacking,PDRF-CAGF,all,accuracy,0.009624197983501448,-0.002062328139321723,0.021769019248396027,5000
calibration_stacking,PDRF-CAGF,all,macro_f1,0.017870636383871208,0.005924234568861275,0.02941223752300792,5000
calibration_stacking,PDRF-CAGF,all,macro_auprc,0.01383067709075314,0.003213459830532242,0.0242716612834885,5000
calibration_stacking,PDRF-CAGF,all,macro_auroc,-0.003897302244191825,-0.008655795420099296,0.0007803404389541194,5000
calibration_stacking,PDRF-CAGF,all,nll,-0.4503873536567933,-0.5088164484200124,-0.3914543061003647,5000
calibration_stacking,PDRF-CAGF,affected,accuracy,-0.035694050991501414,-0.057223796033994356,-0.01471671388102003,5000
calibration_stacking,PDRF-CAGF,affected,macro_f1,-0.01811042181401301,-0.0396297962515948,0.0032258303205034873,5000
calibration_stacking,PDRF-CAGF,affected,macro_auprc,-0.024706009103719784,-0.045258448824522166,-0.0059942702683562004,5000
calibration_stacking,PDRF-CAGF,affected,macro_auroc,-0.023936878869170064,-0.032826313590899076,-0.015143072394966563,5000
calibration_stacking,PDRF-CAGF,affected,nll,-0.730572479218665,-0.8480780260841716,-0.6152347846696656,5000
calibration_stacking,PDRF-CAGF,unaffected,accuracy,0.040400153905348235,0.026933435936898786,0.05425163524432475,5000
calibration_stacking,PDRF-CAGF,unaffected,macro_f1,0.037546399850000634,0.02445703778002901,0.05091062628539125,5000
calibration_stacking,PDRF-CAGF,unaffected,macro_auprc,0.03932249919226627,0.028296061964938123,0.05009933690757341,5000
calibration_stacking,PDRF-CAGF,unaffected,macro_auroc,0.00928995349417161,0.004472723069608347,0.014190727138587982,5000
calibration_stacking,PDRF-CAGF,unaffected,nll,-0.26011157581273636,-0.31971844955582845,-0.20120386670890955,5000
calibration_stacking,PDRF_AUC-CAGF,all,accuracy,0.009624197983501448,-0.0018331805682859665,0.021539871677360267,5000
calibration_stacking,PDRF_AUC-CAGF,all,macro_f1,0.018542405605804335,0.006524878986809518,0.03019394042959357,5000
