seed,epoch,train_loss,gradient_norm,selection_ce,method
101,1,3.717966854572296,0.38280587767561275,1.4138171672821045,QMF-PD-current
101,2,2.512041146556536,0.687661831577619,0.8721919655799866,QMF-PD-current
101,3,1.56544595460097,0.7799967763324579,0.5966059565544128,QMF-PD-current
101,4,1.1842876225709915,0.835533274958531,0.5209211707115173,QMF-PD-current
101,5,1.0188963289062183,0.791141485174497,0.48757314682006836,QMF-PD-current
101,6,0.8881330266594887,0.7393826643625895,0.45967936515808105,QMF-PD-current
101,7,0.7833347593744596,0.6454770900309086,0.41128256916999817,QMF-PD-current
101,8,0.7025916750232378,0.607928371677796,0.43348535895347595,QMF-PD-current
101,9,0.6513435194889704,0.5632969886064529,0.4445786476135254,QMF-PD-current
101,10,0.6235409826040268,0.6412968225777149,0.4044218361377716,QMF-PD-current
101,11,0.5825588752826055,0.5709403740863005,0.43747779726982117,QMF-PD-current
101,12,0.5602461695671082,0.5932428762316704,0.41864848136901855,QMF-PD-current
101,13,0.5403013390799364,0.6006074709196886,0.4297519326210022,QMF-PD-current
101,14,0.5095158852636814,0.5956900852421919,0.3910273313522339,QMF-PD-current
101,15,0.4820104700823625,0.5719903993109862,0.43629929423332214,QMF-PD-current
101,16,0.4917453043162823,0.6476757364968458,0.38200142979621887,QMF-PD-current
101,17,0.44360871364672977,0.4916229421893756,0.34749025106430054,QMF-PD-current
101,18,0.43033455436428386,0.49317436665296555,0.40241703391075134,QMF-PD-current
101,19,0.4166816572348277,0.4777468889951706,0.4002148509025574,QMF-PD-current
101,20,0.4039731907347838,0.4481567603846391,0.388532817363739,QMF-PD-current
101,21,0.3808392348388831,0.4550328391293685,0.3780575394630432,QMF-PD-current
101,22,0.36781542251507443,0.4293562149008115,0.3966246545314789,QMF-PD-current
101,23,0.35495589797695476,0.4404316482444604,0.38027751445770264,QMF-PD-current
101,24,0.3445110556979974,0.4357057176530361,0.38338539004325867,QMF-PD-current
101,25,0.3252546451985836,0.35888625246783096,0.39573851227760315,QMF-PD-current
101,26,0.3129369206726551,0.3802255342404048,0.39667415618896484,QMF-PD-current
101,1,3.8429350554943085,0.26665594056248665,1.6585686206817627,QMF-PD-scale003
101,2,2.882627715667089,0.5215146901706854,1.2279855012893677,QMF-PD-scale003
101,3,1.8720282067855198,0.670196171849966,0.7983753681182861,QMF-PD-scale003
101,4,1.314567153652509,0.7666000699003538,0.6309129595756531,QMF-PD-scale003
101,5,1.1099758421381314,0.7882295126716296,0.5655239224433899,QMF-PD-scale003
101,6,0.9574506555994352,0.782841932028532,0.535229504108429,QMF-PD-scale003
