seed,method,subset,metric,value
101,RO-PDRF interior=.001,all,macro_auprc,0.5795968306939611
101,RO-PDRF interior=.001,all,nll,1.7894130358810714
101,RO-PDRF interior=.001,all,brier,0.686750902197692
101,RO-PDRF interior=.001,all,ece15,0.2482620796187005
101,RO-PDRF interior=.001,affected,accuracy,0.48725212464589235
101,RO-PDRF interior=.001,affected,macro_f1,0.4715538467182851
101,RO-PDRF interior=.001,affected,macro_auroc,0.8074915690207306
101,RO-PDRF interior=.001,affected,macro_auprc,0.5169336435111302
101,RO-PDRF interior=.001,affected,nll,2.1069954518028235
101,RO-PDRF interior=.001,affected,brier,0.7758866461005607
101,RO-PDRF interior=.001,affected,ece15,0.2998863507600411
101,RO-PDRF interior=.001,unaffected,accuracy,0.5852250865717584
101,RO-PDRF interior=.001,unaffected,macro_f1,0.5588230416649803
101,RO-PDRF interior=.001,unaffected,macro_auroc,0.8646164095029695
101,RO-PDRF interior=.001,unaffected,macro_auprc,0.6304844860562713
101,RO-PDRF interior=.001,unaffected,nll,1.573740483321667
101,RO-PDRF interior=.001,unaffected,brier,0.6262181634564211
101,RO-PDRF interior=.001,unaffected,ece15,0.21320361059507348
101,RO-PDRF interior=.020,all,accuracy,0.5494958753437214
101,RO-PDRF interior=.020,all,macro_f1,0.5285738173757245
101,RO-PDRF interior=.020,all,macro_auroc,0.8411983266165532
101,RO-PDRF interior=.020,all,macro_auprc,0.5815440889956374
101,RO-PDRF interior=.020,all,nll,1.8287128596821092
101,RO-PDRF interior=.020,all,brier,0.682041017419128
101,RO-PDRF interior=.020,all,ece15,0.24894237504652283
101,RO-PDRF interior=.020,affected,accuracy,0.4838526912181303
101,RO-PDRF interior=.020,affected,macro_f1,0.46781088604724963
101,RO-PDRF interior=.020,affected,macro_auroc,0.8083429827356688
101,RO-PDRF interior=.020,affected,macro_auprc,0.5188768215168574
101,RO-PDRF interior=.020,affected,nll,2.159521182602904
101,RO-PDRF interior=.020,affected,brier,0.7761397753876808
101,RO-PDRF interior=.020,affected,ece15,0.3094847998774423
101,RO-PDRF interior=.020,unaffected,accuracy,0.5940746440938822
101,RO-PDRF interior=.020,unaffected,macro_f1,0.5664699780054585
101,RO-PDRF interior=.020,unaffected,macro_auroc,0.8642947314517854
101,RO-PDRF interior=.020,unaffected,macro_auprc,0.6320926146820464
101,RO-PDRF interior=.020,unaffected,nll,1.6040584964827238
101,RO-PDRF interior=.020,unaffected,brier,0.618137859352758
101,RO-PDRF interior=.020,unaffected,ece15,0.20782756045168294
102,RO-CAGF KL=0,all,accuracy,0.5087076076993584
102,RO-CAGF KL=0,all,macro_f1,0.49013989359821025
102,RO-CAGF KL=0,all,macro_auroc,0.8201144458105355
102,RO-CAGF KL=0,all,macro_auprc,0.5535106985989329
102,RO-CAGF KL=0,all,nll,1.7016992337560537
102,RO-CAGF KL=0,all,brier,0.6876974965046053
102,RO-CAGF KL=0,all,ece15,0.22766871636991212
102,RO-CAGF KL=0,affected,accuracy,0.46742209631728043
102,RO-CAGF KL=0,affected,macro_f1,0.4518057932948906
102,RO-CAGF KL=0,affected,macro_auroc,0.7923603759101284
102,RO-CAGF KL=0,affected,macro_auprc,0.5124396552915913
102,RO-CAGF KL=0,affected,nll,1.9389934199199825
102,RO-CAGF KL=0,affected,brier,0.7605389835961016
102,RO-CAGF KL=0,affected,ece15,0.27654201583382765
102,RO-CAGF KL=0,unaffected,accuracy,0.5367449018853405
102,RO-CAGF KL=0,unaffected,macro_f1,0.5163415732560701
102,RO-CAGF KL=0,unaffected,macro_auroc,0.8392318818084888
102,RO-CAGF KL=0,unaffected,macro_auprc,0.5890046917083728
102,RO-CAGF KL=0,unaffected,nll,1.5405510080618119
102,RO-CAGF KL=0,unaffected,brier,0.6382303073101109
102,RO-CAGF KL=0,unaffected,ece15,0.1944785043625889
102,RO-CAGF KL=.001,all,accuracy,0.4910632447296059
102,RO-CAGF KL=.001,all,macro_f1,0.47895600488984585
102,RO-CAGF KL=.001,all,macro_auroc,0.8160641061685635
102,RO-CAGF KL=.001,all,macro_auprc,0.5449214774954244
102,RO-CAGF KL=.001,all,nll,1.8420689863467756
102,RO-CAGF KL=.001,all,brier,0.7274806490046574
102,RO-CAGF KL=.001,all,ece15,0.2673212315248689
102,RO-CAGF KL=.001,affected,accuracy,0.45155807365439093
102,RO-CAGF KL=.001,affected,macro_f1,0.4418787986291332
102,RO-CAGF KL=.001,affected,macro_auroc,0.786896319152428
102,RO-CAGF KL=.001,affected,macro_auprc,0.5020543244212021
102,RO-CAGF KL=.001,affected,nll,2.0943552460883486
102,RO-CAGF KL=.001,affected,brier,0.8028901249220584
102,RO-CAGF KL=.001,affected,ece15,0.31509374038187027
102,RO-CAGF KL=.001,unaffected,accuracy,0.5178914967295114
102,RO-CAGF KL=.001,unaffected,macro_f1,0.5041059550025649
102,RO-CAGF KL=.001,unaffected,macro_auroc,0.8358671273158516
102,RO-CAGF KL=.001,unaffected,macro_auprc,0.5793840369673589
102,RO-CAGF KL=.001,unaffected,nll,1.6707395333095012
102,RO-CAGF KL=.001,unaffected,brier,0.6762695197263916
102,RO-CAGF KL=.001,unaffected,ece15,0.23487858219117375
102,RO-CAGF KL=.020,all,accuracy,0.5309349220898258
102,RO-CAGF KL=.020,all,macro_f1,0.5197050920743176
102,RO-CAGF KL=.020,all,macro_auroc,0.8160248256780237
102,RO-CAGF KL=.020,all,macro_auprc,0.5544835447496982
102,RO-CAGF KL=.020,all,nll,1.8538267564619872
102,RO-CAGF KL=.020,all,brier,0.6842978415526041
102,RO-CAGF KL=.020,all,ece15,0.23563610662652415
102,RO-CAGF KL=.020,affected,accuracy,0.47422096317280454
102,RO-CAGF KL=.020,affected,macro_f1,0.4634259236138454
102,RO-CAGF KL=.020,affected,macro_auroc,0.7825338763380497
102,RO-CAGF KL=.020,affected,macro_auprc,0.513971885549089
102,RO-CAGF KL=.020,affected,nll,2.2694493211533846
102,RO-CAGF KL=.020,affected,brier,0.7879713133647682
102,RO-CAGF KL=.020,affected,ece15,0.30651237878515764
102,RO-CAGF KL=.020,unaffected,accuracy,0.5694497883801463
102,RO-CAGF KL=.020,unaffected,macro_f1,0.5572876222752846
102,RO-CAGF KL=.020,unaffected,macro_auroc,0.840724935203406
102,RO-CAGF KL=.020,unaffected,macro_auprc,0.591301256926402
102,RO-CAGF KL=.020,unaffected,nll,1.5715744183779876
102,RO-CAGF KL=.020,unaffected,brier,0.6138924249506533
102,RO-CAGF KL=.020,unaffected,ece15,0.18750349054110882
102,RO-PDRF interior=0,all,accuracy,0.5522456461961504
102,RO-PDRF interior=0,all,macro_f1,0.5290356441350341
102,RO-PDRF interior=0,all,macro_auroc,0.8431366665160575
102,RO-PDRF interior=0,all,macro_auprc,0.5990343271747767
102,RO-PDRF interior=0,all,nll,1.8764386191067697
102,RO-PDRF interior=0,all,brier,0.6562522409893711
102,RO-PDRF interior=0,all,ece15,0.23952992385087707
102,RO-PDRF interior=0,affected,accuracy,0.4980169971671388
102,RO-PDRF interior=0,affected,macro_f1,0.4896562895813203
102,RO-PDRF interior=0,affected,macro_auroc,0.8063365789901403
102,RO-PDRF interior=0,affected,macro_auprc,0.5375184996518633
102,RO-PDRF interior=0,affected,nll,2.3147450799327713
102,RO-PDRF interior=0,affected,brier,0.7599997354580507
102,RO-PDRF interior=0,affected,ece15,0.29858692685200205
102,RO-PDRF interior=0,unaffected,accuracy,0.5890727202770296
102,RO-PDRF interior=0,unaffected,macro_f1,0.5513146370088046
102,RO-PDRF interior=0,unaffected,macro_auroc,0.8700749906523196
102,RO-PDRF interior=0,unaffected,macro_auprc,0.6466145898331404
102,RO-PDRF interior=0,unaffected,nll,1.578781480454252
102,RO-PDRF interior=0,unaffected,brier,0.5857965550573898
102,RO-PDRF interior=0,unaffected,ece15,0.1994239006273193
102,RO-PDRF interior=.001,all,accuracy,0.5531622364802933
102,RO-PDRF interior=.001,all,macro_f1,0.5302390822807185
102,RO-PDRF interior=.001,all,macro_auroc,0.8431377585549292
102,RO-PDRF interior=.001,all,macro_auprc,0.5986272992426775
102,RO-PDRF interior=.001,all,nll,1.8797353194787894
102,RO-PDRF interior=.001,all,brier,0.6560961058107259
102,RO-PDRF interior=.001,all,ece15,0.23864950680478683
102,RO-PDRF interior=.001,affected,accuracy,0.4985835694050991
102,RO-PDRF interior=.001,affected,macro_f1,0.4904081527296429
102,RO-PDRF interior=.001,affected,macro_auroc,0.8061956577245012
102,RO-PDRF interior=.001,affected,macro_auprc,0.5367039898506223
102,RO-PDRF interior=.001,affected,nll,2.3205217056692677
102,RO-PDRF interior=.001,affected,brier,0.7599969351432375
