method,delta_logvar,delta_logvar_sd,near_upper_bound,near_upper_bound_sd,delta_weight,delta_weight_sd
BCRF,3.906026530265808,0.2782618206218212,0.7760873377323151,0.143251015002813,-0.16052296310663222,0.008823670915102794
CRF,15.93335599899292,6.708656502076636,0.8896341562271118,0.06346164582601865,-0.1447708167135715,0.016754473744182517
