method,seed,temperature,inference_ms_per_observation,parameters,train_seconds,epochs
QMF-PD,101,0.9012906715460401,0.0014231897338155203,17560,15.531604999996489,26
QMF-PD,102,0.5330563678890688,0.0013766727828220947,17560,12.939749099983601,22
QMF-PD,103,0.9809431465107683,0.0014186984405696638,17560,18.60774480001419,32
QMF-PD,104,0.6230715714933807,0.0013024289646795435,17560,9.372682499990333,16
QMF-PD,105,0.8327318956757469,0.00137018790386624,17560,13.619712400017306,24
QMF-PD,106,0.4972645043143087,0.0012989000918913042,17560,10.096682799980044,18
QMF-PD,107,1.339393024755872,0.0014257791077468022,17560,22.589733000000706,40
QMF-PD,108,0.7674257297653359,0.001939986251163579,17560,18.921944200003054,29
QMF-PD,109,0.7341793606885227,0.0016817827627389741,17560,20.142857300001197,31
QMF-PD,110,0.9300719873240727,0.0018076076984105036,17560,17.452937099995324,27
