omitted,remaining_types,difference,ci_low,ci_high
gaussian,3,0.03284634116416732,0.006694076915519904,0.05623003223875073
offset,3,0.026626378172273698,0.0005339366241380876,0.05202130899187611
drift,3,0.024904187930757157,-0.001695067864029139,0.052230081755882875
stuck_at,3,0.02541209765803889,0.0002895939751468229,0.049695695203233525
