seed,rank_weight,regime,metric,value
102,0.3,complete_drift,macro_auroc,0.8707700506833221
102,0.3,complete_drift,nll,1.420252806378428
102,0.3,complete_drift,aurc,0.18513957724125032
102,0.3,missing_drift,macro_auroc,0.8536589340547517
102,0.3,missing_drift,nll,1.5653120962661096
102,0.3,missing_drift,aurc,0.22151003386456683
102,0.3,reported_fault,macro_auroc,0.8441074907565908
102,0.3,reported_fault,nll,1.6379541285982988
102,0.3,reported_fault,aurc,0.23498362345781543
102,0.3,silent_fault,macro_auroc,0.8287853399075659
102,0.3,silent_fault,nll,1.822970270489829
102,0.3,silent_fault,aurc,0.2530317683819197
103,0.0,complete_drift,macro_auroc,0.8714296137859548
103,0.0,complete_drift,nll,1.4316669986708612
103,0.0,complete_drift,aurc,0.19335526389477126
103,0.0,missing_drift,macro_auroc,0.8503862847459907
103,0.0,missing_drift,nll,1.6051052199650528
103,0.0,missing_drift,aurc,0.23200356506051412
103,0.0,reported_fault,macro_auroc,0.8408749965486196
103,0.0,reported_fault,nll,1.720756688748426
103,0.0,reported_fault,aurc,0.24278738945980846
103,0.0,silent_fault,macro_auroc,0.7965228496551515
103,0.0,silent_fault,nll,2.360832985811708
103,0.0,silent_fault,aurc,0.31658601631553834
103,0.15,complete_drift,macro_auroc,0.8733856359665703
103,0.15,complete_drift,nll,1.4741483413582466
103,0.15,complete_drift,aurc,0.2103320858610081
103,0.15,missing_drift,macro_auroc,0.8528961527946124
103,0.15,missing_drift,nll,1.6568905158258476
103,0.15,missing_drift,aurc,0.24229684116676586
103,0.15,reported_fault,macro_auroc,0.8455610290398671
103,0.15,reported_fault,nll,1.7418818279436368
103,0.15,reported_fault,aurc,0.24722111987768644
103,0.15,silent_fault,macro_auroc,0.8159758723195866
103,0.15,silent_fault,nll,2.180509503929343
103,0.15,silent_fault,aurc,0.29360492660025866
103,0.03,complete_drift,macro_auroc,0.8756048476669692
103,0.03,complete_drift,nll,1.4250523127559522
103,0.03,complete_drift,aurc,0.17766321682649414
103,0.03,missing_drift,macro_auroc,0.8523125906589385
103,0.03,missing_drift,nll,1.6208910991208723
103,0.03,missing_drift,aurc,0.21815117670158135
103,0.03,reported_fault,macro_auroc,0.8424491174030434
103,0.03,reported_fault,nll,1.7073961620164584
103,0.03,reported_fault,aurc,0.23520519549395566
103,0.03,silent_fault,macro_auroc,0.7985144596045318
103,0.03,silent_fault,nll,2.319015665927009
103,0.03,silent_fault,aurc,0.312303922199972
103,0.07,complete_drift,macro_auroc,0.8766523098671377
103,0.07,complete_drift,nll,1.4288011169196364
103,0.07,complete_drift,aurc,0.18557640054840402
103,0.07,missing_drift,macro_auroc,0.8542333800711784
103,0.07,missing_drift,nll,1.6150758763271797
103,0.07,missing_drift,aurc,0.2267713666720722
103,0.07,reported_fault,macro_auroc,0.8460826446817769
103,0.07,reported_fault,nll,1.6922974928481411
103,0.07,reported_fault,aurc,0.23837972229330082
103,0.07,silent_fault,macro_auroc,0.816103169921806
103,0.07,silent_fault,nll,2.1128145942083223
103,0.07,silent_fault,aurc,0.2889637624518369
103,0.3,complete_drift,macro_auroc,0.8854079155457608
103,0.3,complete_drift,nll,1.3460070051543624
103,0.3,complete_drift,aurc,0.16788965226046154
103,0.3,missing_drift,macro_auroc,0.8645277247307558
103,0.3,missing_drift,nll,1.536915722337339
103,0.3,missing_drift,aurc,0.21427780531231058
103,0.3,reported_fault,macro_auroc,0.8526823426259412
103,0.3,reported_fault,nll,1.6606462656557544
103,0.3,reported_fault,aurc,0.23410422612283038
103,0.3,silent_fault,macro_auroc,0.8256835829491324
103,0.3,silent_fault,nll,2.075893686846518
103,0.3,silent_fault,aurc,0.2753467491640006
104,0.0,complete_drift,macro_auroc,0.8600321661146383
104,0.0,complete_drift,nll,1.499748759437968
104,0.0,complete_drift,aurc,0.18314033555126746
104,0.0,missing_drift,macro_auroc,0.8437074787375339
104,0.0,missing_drift,nll,1.6685537713163672
104,0.0,missing_drift,aurc,0.2181247240502261
104,0.0,reported_fault,macro_auroc,0.8317109598006862
104,0.0,reported_fault,nll,1.7920896845802456
104,0.0,reported_fault,aurc,0.238123819259075
104,0.0,silent_fault,macro_auroc,0.7947259298315957
104,0.0,silent_fault,nll,2.327055791870052
104,0.0,silent_fault,aurc,0.30832720080595777
104,0.15,complete_drift,macro_auroc,0.8656987667924431
104,0.15,complete_drift,nll,1.354215001350622
104,0.15,complete_drift,aurc,0.19446665063135216
104,0.15,missing_drift,macro_auroc,0.8490217502628624
104,0.15,missing_drift,nll,1.5211165881650217
104,0.15,missing_drift,aurc,0.23585308920430753
104,0.15,reported_fault,macro_auroc,0.8371405557105812
104,0.15,reported_fault,nll,1.6326097058700308
104,0.15,reported_fault,aurc,0.2594026323544516
104,0.15,silent_fault,macro_auroc,0.8164425610446217
104,0.15,silent_fault,nll,1.9173467042830705
104,0.15,silent_fault,aurc,0.29812057967736777
104,0.03,complete_drift,macro_auroc,0.8618277305954504
104,0.03,complete_drift,nll,1.4607688741261506
104,0.03,complete_drift,aurc,0.20221374677918164
104,0.03,missing_drift,macro_auroc,0.8473735071224122
104,0.03,missing_drift,nll,1.6057557017939423
104,0.03,missing_drift,aurc,0.23394169349097382
104,0.03,reported_fault,macro_auroc,0.8357060588306532
104,0.03,reported_fault,nll,1.7183954883596857
104,0.03,reported_fault,aurc,0.25104057979835614
104,0.03,silent_fault,macro_auroc,0.8133480920144301
104,0.03,silent_fault,nll,2.036627073753183
104,0.03,silent_fault,aurc,0.28832424023914316
104,0.07,complete_drift,macro_auroc,0.8638646742701833
104,0.07,complete_drift,nll,1.387650622268396
104,0.07,complete_drift,aurc,0.19068494429039518
104,0.07,missing_drift,macro_auroc,0.848583589022072
104,0.07,missing_drift,nll,1.540047619563931
104,0.07,missing_drift,aurc,0.22444916368330942
104,0.07,reported_fault,macro_auroc,0.8376183410897952
104,0.07,reported_fault,nll,1.64113446287284
104,0.07,reported_fault,aurc,0.24291717892153186
104,0.07,silent_fault,macro_auroc,0.816501485603891
104,0.07,silent_fault,nll,1.9437611009799591
104,0.07,silent_fault,aurc,0.28338838192674204
104,0.3,complete_drift,macro_auroc,0.8678413228637633
104,0.3,complete_drift,nll,1.368037036197554
104,0.3,complete_drift,aurc,0.18476275400552847
104,0.3,missing_drift,macro_auroc,0.8500961638263703
104,0.3,missing_drift,nll,1.5460777817987117
104,0.3,missing_drift,aurc,0.2291337180943261
104,0.3,reported_fault,macro_auroc,0.8394066014151402
104,0.3,reported_fault,nll,1.6708382155137924
104,0.3,reported_fault,aurc,0.24875576266601523
104,0.3,silent_fault,macro_auroc,0.8223706211310896
104,0.3,silent_fault,nll,1.8995026652925668
104,0.3,silent_fault,aurc,0.2818538487422796
105,0.0,complete_drift,macro_auroc,0.8795219525078005
105,0.0,complete_drift,nll,1.2576148329392827
105,0.0,complete_drift,aurc,0.17738506583707356
105,0.0,missing_drift,macro_auroc,0.861340760220166
105,0.0,missing_drift,nll,1.402399430839517
105,0.0,missing_drift,aurc,0.21422027203402036
105,0.0,reported_fault,macro_auroc,0.8510470869910947
105,0.0,reported_fault,nll,1.52716728746828
105,0.0,reported_fault,aurc,0.23142820923204968
105,0.0,silent_fault,macro_auroc,0.8146621803424797
105,0.0,silent_fault,nll,2.052676899613296
105,0.0,silent_fault,aurc,0.28691911412453713
105,0.15,complete_drift,macro_auroc,0.8688428075128565
105,0.15,complete_drift,nll,1.4953938189960583
105,0.15,complete_drift,aurc,0.18775062371136306
105,0.15,missing_drift,macro_auroc,0.8551391774018722
105,0.15,missing_drift,nll,1.6188105314263401
105,0.15,missing_drift,aurc,0.2169573771603342
105,0.15,reported_fault,macro_auroc,0.8489353313260195
105,0.15,reported_fault,nll,1.6729340092753737
105,0.15,reported_fault,aurc,0.22157028662144318
105,0.15,silent_fault,macro_auroc,0.8347493133435281
105,0.15,silent_fault,nll,1.8397177737368475
105,0.15,silent_fault,aurc,0.24131559544808762
105,0.03,complete_drift,macro_auroc,0.8770590475802867
105,0.03,complete_drift,nll,1.273472782113688
105,0.03,complete_drift,aurc,0.18823059294705388
105,0.03,missing_drift,macro_auroc,0.8601723339058646
105,0.03,missing_drift,nll,1.4120852534338821
105,0.03,missing_drift,aurc,0.21927720228985384
105,0.03,reported_fault,macro_auroc,0.8541606986024949
105,0.03,reported_fault,nll,1.480618507228542
105,0.03,reported_fault,aurc,0.22713872987058772
105,0.03,silent_fault,macro_auroc,0.8329212549799276
105,0.03,silent_fault,nll,1.763830349077662
105,0.03,silent_fault,aurc,0.2553628456691846
105,0.07,complete_drift,macro_auroc,0.8822839407941346
105,0.07,complete_drift,nll,1.2266070905540836
105,0.07,complete_drift,aurc,0.1538341173351118
105,0.07,missing_drift,macro_auroc,0.861932227864393
105,0.07,missing_drift,nll,1.4016486220569548
105,0.07,missing_drift,aurc,0.19565999617885443
105,0.07,reported_fault,macro_auroc,0.8562443224306543
105,0.07,reported_fault,nll,1.4778228530747566
105,0.07,reported_fault,aurc,0.2043960201946029
105,0.07,silent_fault,macro_auroc,0.8300415961912698
105,0.07,silent_fault,nll,1.814829529455113
105,0.07,silent_fault,aurc,0.24855938472905284
105,0.3,complete_drift,macro_auroc,0.8799705531250002
105,0.3,complete_drift,nll,1.414030287153459
105,0.3,complete_drift,aurc,0.1684713941345381
105,0.3,missing_drift,macro_auroc,0.8668129931799031
105,0.3,missing_drift,nll,1.54106938974597
105,0.3,missing_drift,aurc,0.19345110854037623
105,0.3,reported_fault,macro_auroc,0.8589017932858215
105,0.3,reported_fault,nll,1.6472128148251453
105,0.3,reported_fault,aurc,0.20637086292020274
105,0.3,silent_fault,macro_auroc,0.8492406735246765
105,0.3,silent_fault,nll,1.7434972046951325
105,0.3,silent_fault,aurc,0.2207396293016086
106,0.0,complete_drift,macro_auroc,0.874565481875298
106,0.0,complete_drift,nll,1.5974366589063083
106,0.0,complete_drift,aurc,0.15931556640438746
106,0.0,missing_drift,macro_auroc,0.8491970911229129
106,0.0,missing_drift,nll,1.8286998888278798
106,0.0,missing_drift,aurc,0.20879564959103386
106,0.0,reported_fault,macro_auroc,0.8378081819361549
106,0.0,reported_fault,nll,2.0017397325248263
106,0.0,reported_fault,aurc,0.23474618457607338
106,0.0,silent_fault,macro_auroc,0.7957383287979276
106,0.0,silent_fault,nll,2.7221240693324265
106,0.0,silent_fault,aurc,0.3086158201054078
106,0.15,complete_drift,macro_auroc,0.8866930552377598
106,0.15,complete_drift,nll,1.4559896078245436
106,0.15,complete_drift,aurc,0.1465306409280966
106,0.15,missing_drift,macro_auroc,0.8620168541461669
106,0.15,missing_drift,nll,1.68365045591394
106,0.15,missing_drift,aurc,0.19268542037014455
106,0.15,reported_fault,macro_auroc,0.8530360139266385
106,0.15,reported_fault,nll,1.7908261523161222
106,0.15,reported_fault,aurc,0.21321598423393107
106,0.15,silent_fault,macro_auroc,0.8301228470569124
106,0.15,silent_fault,nll,2.1561203472748725
106,0.15,silent_fault,aurc,0.25355907934551464
106,0.03,complete_drift,macro_auroc,0.8760484162697054
106,0.03,complete_drift,nll,1.4984232694704818
106,0.03,complete_drift,aurc,0.15923757184100518
106,0.03,missing_drift,macro_auroc,0.8540906376407463
106,0.03,missing_drift,nll,1.6946404691014696
106,0.03,missing_drift,aurc,0.2034393440708623
106,0.03,reported_fault,macro_auroc,0.8437323008976111
106,0.03,reported_fault,nll,1.8236953991241593
106,0.03,reported_fault,aurc,0.22247564959916538
106,0.03,silent_fault,macro_auroc,0.8121616116213045
106,0.03,silent_fault,nll,2.3320009062418374
106,0.03,silent_fault,aurc,0.28172736232884327
106,0.07,complete_drift,macro_auroc,0.8784237387945697
106,0.07,complete_drift,nll,1.4839514472922473
106,0.07,complete_drift,aurc,0.16939482933671063
106,0.07,missing_drift,macro_auroc,0.855895643140959
106,0.07,missing_drift,nll,1.6782406250275428
106,0.07,missing_drift,aurc,0.21112302250561288
106,0.07,reported_fault,macro_auroc,0.8452990676983122
106,0.07,reported_fault,nll,1.793774105882046
106,0.07,reported_fault,aurc,0.23211073659974185
106,0.07,silent_fault,macro_auroc,0.8223845707886143
106,0.07,silent_fault,nll,2.170817675363438
106,0.07,silent_fault,aurc,0.2752043842808545
106,0.3,complete_drift,macro_auroc,0.8701852745540454
106,0.3,complete_drift,nll,1.7039770716608238
106,0.3,complete_drift,aurc,0.18584867475601216
106,0.3,missing_drift,macro_auroc,0.8487037336108054
106,0.3,missing_drift,nll,1.9483509765975442
106,0.3,missing_drift,aurc,0.22302994190572878
106,0.3,reported_fault,macro_auroc,0.8408580019208439
106,0.3,reported_fault,nll,2.0643574210322857
106,0.3,reported_fault,aurc,0.2309732848131608
106,0.3,silent_fault,macro_auroc,0.8180214292811469
106,0.3,silent_fault,nll,2.3762085872069676
106,0.3,silent_fault,aurc,0.27361896629870297
107,0.0,complete_drift,macro_auroc,0.878812285264316
107,0.0,complete_drift,nll,1.3639359803066478
