method,macro_auroc,macro_auroc_sd,nll,nll_sd,brier,brier_sd,ece15,ece15_sd,parameters
RO-CAGF,0.7969347900764326,0.021699409060373213,2.070682379128601,0.29629643168448366,0.7699519160534106,0.05567106340704966,0.2745369795049216,0.0473677453632534,26588
RO-PDRF,0.8042807070149781,0.009359312276635666,2.65029186286093,0.33914736993229644,0.8090224759029458,0.03153468369480553,0.3422019377443675,0.026697856123598228,19740
RO-AT-GATE,0.7841199768460659,0.028686905384179305,1.8260625967453965,0.347461417129558,0.7356331004125154,0.061261438221770166,0.21023135770734913,0.07066794210264413,26809
RO-PDRF-EMA,0.8058740851403471,0.008981240092108954,2.413437273039747,0.23051923877418884,0.792224671574408,0.02523679243971673,0.3214927646289804,0.021156453870794293,19740
QMF-PD,0.7500084751583629,0.020769387726887318,3.5589420746257274,0.9184240683692084,0.8962153581570951,0.07819939134740689,0.37622771680777195,0.059482073611327076,17560
RO-PDRF-CRA,0.8029237445907988,0.01080622747306928,2.730225545912515,0.28770931345758854,0.8188092789566976,0.035906908787562065,0.34872721005262797,0.025209183874900006,19740
RO-PDRF-ECA,0.8048708574247432,0.010386222908258623,2.4935368891805436,0.24109439724568588,0.8038628613990205,0.02571618117990181,0.3321834140230846,0.021377554779083756,19740
