representation,task,fault,subset,metric,CAGF,PDRF_NOQ,PDRF_RCIA_R30_NOQ,final_minus_cagf
linear_resampling,cooler,vibration,unaffected,accuracy,0.9153284671532846,1.0,1.0,0.08467153284671536
linear_resampling,cooler,vibration,unaffected,macro_auprc,0.9126304144831249,1.0,1.0,0.08736958551687513
linear_resampling,cooler,vibration,unaffected,macro_auroc,0.9610065866524599,1.0,1.0,0.03899341334754014
linear_resampling,cooler,vibration,unaffected,macro_f1,0.9140748015953489,1.0,1.0,0.08592519840465107
linear_resampling,cooler,vibration,unaffected,nll,1.1326490633295367,1.1920929665620916e-07,1.1920929665620916e-07,-1.13264894412024
linear_resampling,pump,pressure,affected,accuracy,0.7443037974683544,0.7949367088607595,0.8405063291139241,0.09620253164556969
linear_resampling,pump,pressure,affected,macro_auprc,0.786777878059986,0.8328310880663364,0.8624308529145095,0.07565297485452349
linear_resampling,pump,pressure,affected,macro_auroc,0.8713060323844637,0.9035590702442349,0.9213925436862913,0.05008651130182762
linear_resampling,pump,pressure,affected,macro_f1,0.7461081032134105,0.7912006992076991,0.8371807384608887,0.09107263524747822
linear_resampling,pump,pressure,affected,nll,1.6794339698902079,1.054566020866371,0.8926158163087408,-0.7868181535814671
linear_resampling,pump,pressure,all,accuracy,0.7908256880733945,0.9027522935779816,0.9155963302752292,0.12477064220183476
linear_resampling,pump,pressure,all,macro_auprc,0.8376510791938655,0.9317319394269941,0.942450825662082,0.10479974646821655
linear_resampling,pump,pressure,all,macro_auroc,0.9114921856788296,0.9642340114086689,0.9704780122588342,0.05898582658000462
linear_resampling,pump,pressure,all,macro_f1,0.7924007819216569,0.9028270056704224,0.9155617005971013,0.12316091867544443
linear_resampling,pump,pressure,all,nll,1.3019949547229115,0.4698879684723735,0.40811906821377325,-0.8938758865091383
linear_resampling,pump,pressure,unaffected,accuracy,0.8172661870503598,0.9640287769784173,0.9582733812949641,0.14100719424460428
linear_resampling,pump,pressure,unaffected,macro_auprc,0.8804280768919238,0.9895966671544867,0.9906140649765621,0.11018598808463831
linear_resampling,pump,pressure,unaffected,macro_auroc,0.9364144940798875,0.994302368376553,0.9946133773653095,0.058198883285422
linear_resampling,pump,pressure,unaffected,macro_f1,0.8186167908750168,0.9639971581416213,0.9582767188902519,0.13965992801523508
linear_resampling,pump,pressure,unaffected,nll,1.0874792554551673,0.1375889315002455,0.1327576070662738,-0.9547216483888935
linear_resampling,pump,vibration,affected,accuracy,0.837037037037037,0.9901234567901234,0.9950617283950617,0.15802469135802466
linear_resampling,pump,vibration,affected,macro_auprc,0.866910985098043,0.99953502374555,0.9996988196988197,0.1327878346007767
linear_resampling,pump,vibration,affected,macro_auroc,0.9274162739372211,0.99976725359239,0.9998218984011334,0.0724056244639123
linear_resampling,pump,vibration,affected,macro_f1,0.8430060014818128,0.9896848480221891,0.9948700332073743,0.1518640317255615
linear_resampling,pump,vibration,affected,nll,1.0952553534709883,0.04354061316936168,0.03728297140908744,-1.057972382061901
linear_resampling,pump,vibration,all,accuracy,0.8311926605504587,0.9807339449541285,0.9825688073394495,0.1513761467889908
linear_resampling,pump,vibration,all,macro_auprc,0.8693131290685358,0.9975476498360333,0.9973427779313069,0.12802964886277113
linear_resampling,pump,vibration,all,macro_auroc,0.9308569699836824,0.9984160530393407,0.9981586895114292,0.06730171952774677
